timesec,feature_mean
4.564,229.620,close
4.596,235.700,close
4.629,233.380,close
4.671,238.620,close
4.693,232.580,close
4.727,233.720,close
4.761,227.380,close
4.794,227.820,close
4.828,232.920,close
4.861,233.080,close
4.905,234.220,close
4.929,235.640,close
4.965,234.080,close
5.001,233.900,close
5.030,233.180,close
5.070,233.160,close
5.096,233.360,close
5.131,233.720,close
5.161,235.400,close
5.193,234.280,close
5.229,238.440,close
5.262,234.320,close
5.294,234.300,close
5.335,236.040,close
5.365,235.780,close
5.395,237.000,close
5.430,232.740,close
5.463,234.400,close
5.496,233.580,close
5.528,237.260,close
5.563,232.580,close
5.597,233.420,close
5.630,235.780,close
5.666,235.880,close
5.695,237.100,close
5.732,235.240,close
5.767,234.460,close
5.797,237.460,close
5.838,235.820,close
5.862,236.840,close
5.894,232.440,close
5.929,239.180,close
5.965,236.540,close
5.994,236.520,close
6.029,233.940,close
6.062,232.260,close
6.098,235.480,close
6.134,238.120,close
6.171,232.920,close
6.194,237.280,close
6.230,235.620,close
6.265,238.940,close
6.294,236.080,close
6.331,235.180,close
6.363,240.140,close
6.397,239.780,close
6.429,239.280,close
6.466,241.380,close
6.495,240.660,close
6.531,239.500,close
6.566,240.240,close
6.598,234.060,close
6.631,239.140,close
6.666,235.140,close
6.696,239.580,close
6.729,238.380,close
6.763,242.100,close
6.794,240.160,close
6.830,234.960,close
6.874,240.140,close
6.895,242.040,close
6.933,236.740,close
6.967,236.560,close
7.000,241.720,close
7.031,238.740,close
7.063,241.220,close
7.094,239.160,close
7.129,241.540,close
7.164,243.420,close
7.195,240.920,close
7.230,243.100,close
7.266,239.000,close
7.299,239.320,close
7.330,241.620,close
7.365,243.420,close
7.396,244.020,close
7.430,238.140,close
7.466,244.700,close
7.496,242.020,close
7.532,238.380,close
7.564,236.620,close
7.598,238.900,close
7.629,243.860,close
7.665,241.620,close
7.694,243.220,close
7.734,244.880,close
7.768,245.580,close
7.798,239.380,close
7.829,242.640,close
7.865,242.500,close
