d_measured,d_error,theta_measured,theta_error
1.323,0.100,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.337,0.087,-0.075,0.002
1.337,0.087,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.093,-0.075,0.002
1.330,0.094,-0.075,0.002
1.330,0.094,-0.075,0.002
1.343,0.080,-0.075,0.002
1.343,0.080,-0.075,0.002
1.330,0.094,-0.075,0.002
1.330,0.094,-0.075,0.002
1.330,0.095,-0.075,0.002
1.330,0.095,-0.075,0.002
1.330,0.095,-0.075,0.002
1.330,0.095,-0.075,0.002
1.330,0.095,-0.075,0.002
1.330,0.095,-0.075,0.002
1.330,0.095,-0.075,0.002
1.330,0.095,-0.075,0.002
1.330,0.096,-0.075,0.002
1.330,0.096,-0.075,0.002
1.330,0.096,-0.075,0.002
1.330,0.096,-0.075,0.002
1.330,0.096,-0.075,0.002
1.330,0.097,-0.075,0.002
1.330,0.097,-0.075,0.002
1.330,0.097,-0.075,0.002
1.350,0.077,-0.075,0.002
1.350,0.077,-0.075,0.002
1.337,0.091,-0.075,0.002
1.337,0.091,-0.075,0.002
1.330,0.098,-0.075,0.002
1.330,0.098,-0.075,0.002
1.337,0.092,-0.075,0.001
1.337,0.092,-0.075,0.001
1.350,0.079,-0.075,0.001
1.350,0.079,-0.075,0.001
1.337,0.094,-0.075,0.002
1.337,0.094,-0.075,0.002
1.337,0.097,-0.075,0.002
1.337,0.097,-0.075,0.002
1.337,0.098,-0.075,0.002
1.337,0.098,-0.075,0.002
1.343,0.094,-0.075,0.001
1.343,0.094,-0.075,0.001
1.343,0.095,-0.075,0.001
1.343,0.095,-0.074,0.002
1.350,0.091,-0.074,0.002
1.350,0.091,-0.074,0.002
1.343,0.100,-0.074,0.002
1.343,0.100,-0.074,0.002
1.350,0.098,-0.074,0.002
1.350,0.098,-0.074,0.002
1.350,0.100,-0.074,0.002
1.350,0.100,-0.074,0.002
1.365,0.089,-0.074,0.001
1.365,0.089,0.129,0.205
1.365,0.091,0.129,0.205
1.365,0.091,0.129,0.205
1.365,0.093,0.129,0.205
1.365,0.093,0.130,0.206
1.372,0.086,0.130,0.206
1.372,0.086,0.130,0.206
1.372,0.095,0.130,0.205
1.372,0.095,0.130,0.205
1.371,0.096,0.130,0.205
1.371,0.096,-0.073,0.002
1.385,0.098,-0.073,0.001
1.385,0.098,-0.073,0.001
1.392,0.093,-0.073,0.001
1.392,0.093,-0.072,0.002
1.407,0.085,-0.072,0.001
1.407,0.085,-0.072,0.001
1.392,0.100,-0.072,0.001
1.392,0.100,-0.072,0.001
1.400,0.097,-0.072,0.001
1.400,0.097,-0.072,0.002
1.422,0.077,-0.072,0.002
1.422,0.077,-0.072,0.002
1.407,0.097,-0.072,0.002
1.407,0.097,-0.072,0.002
1.431,0.077,-0.072,0.002
1.431,0.077,0.131,0.204
1.423,0.085,0.131,0.204
1.423,0.085,0.131,0.204
1.414,0.100,0.131,0.204
1.414,0.100,-0.072,0.001
1.422,0.096,-0.072,0.001
1.422,0.096,-0.071,0.002
1.422,0.100,-0.071,0.002
1.422,0.100,-0.071,0.002
1.437,0.086,-0.071,0.002
1.437,0.086,-0.071,0.002
1.430,0.101,-0.071,0.001
1.430,0.101,-0.071,0.001
1.453,0.098,-0.071,0.000
1.453,0.098,-0.070,0.001
1.462,0.094,-0.070,0.001
1.462,0.094,0.132,0.203
1.487,0.079,0.132,0.202
1.487,0.079,0.133,0.203
1.469,0.100,0.133,0.203
1.469,0.100,-0.069,0.001
1.485,0.092,-0.069,0.001
1.485,0.092,-0.069,0.001
1.477,0.102,-0.069,0.001
1.477,0.102,-0.069,0.001
1.485,0.099,-0.069,0.001
1.485,0.099,-0.068,0.002
1.494,0.093,-0.068,0.002
1.494,0.093,-0.068,0.002
1.494,0.101,-0.068,0.001
1.494,0.101,-0.068,0.001
1.510,0.086,-0.068,0.001
1.510,0.087,-0.068,0.001
1.502,0.099,-0.068,0.001
1.502,0.100,-0.068,0.001
1.512,0.097,-0.068,0.001
1.512,0.097,0.134,0.202
1.521,0.092,0.134,0.202
1.521,0.092,0.134,0.202
1.528,0.091,0.134,0.202
1.528,0.091,-0.067,0.001
1.519,0.104,-0.067,0.001
1.519,0.104,-0.067,0.001
1.545,0.081,-0.067,0.001
1.545,0.081,-0.066,0.002
1.536,0.099,-0.066,0.001
1.536,0.099,-0.066,0.001
1.545,0.093,-0.066,0.001
1.545,0.093,-0.066,0.001
1.564,0.104,-0.066,0.000
1.564,0.104,-0.066,0.000
1.582,0.089,-0.066,0.000
1.582,0.089,-0.065,0.001
1.573,0.101,-0.065,0.001
1.573,0.102,-0.065,0.001
1.591,0.084,-0.065,0.001
1.591,0.084,-0.064,0.002
1.591,0.091,-0.064,0.001
1.591,0.091,-0.064,0.001
1.582,0.105,-0.064,0.001
1.582,0.105,-0.064,0.001
1.601,0.088,-0.064,0.001
1.601,0.088,-0.064,0.001
1.591,0.102,-0.064,0.001
1.591,0.102,-0.064,0.001
1.601,0.096,-0.064,0.001
1.601,0.096,-0.064,0.001
1.642,0.058,-0.064,0.001
1.642,0.059,0.136,0.201
1.622,0.084,0.136,0.200
1.622,0.084,0.136,0.200
1.622,0.089,0.136,0.200
1.622,0.089,0.136,0.200
1.630,0.087,0.136,0.200
1.630,0.087,-0.063,0.001
1.620,0.103,-0.063,0.001
1.620,0.103,-0.063,0.001
1.640,0.089,-0.063,0.001
1.640,0.089,-0.062,0.002
1.640,0.092,-0.062,0.001
1.640,0.092,-0.062,0.001
1.651,0.097,-0.062,0.001
1.651,0.097,-0.062,0.001
1.671,0.089,-0.062,0.000
1.671,0.089,-0.062,0.000
1.661,0.105,-0.062,0.000
1.661,0.105,-0.061,0.001
1.684,0.088,-0.061,0.001
1.684,0.088,0.137,0.199
1.692,0.081,0.137,0.199
1.692,0.081,-0.060,0.002
1.692,0.090,-0.060,0.001
1.692,0.090,-0.059,0.002
1.714,0.074,-0.059,0.002
1.714,0.074,-0.059,0.002
1.703,0.088,-0.059,0.002
1.703,0.090,-0.059,0.002
1.692,0.104,-0.059,0.002
1.692,0.104,-0.059,0.002
1.714,0.088,-0.059,0.002
1.714,0.088,-0.059,0.002
1.703,0.103,-0.059,0.002
1.703,0.103,-0.059,0.002
1.739,0.071,-0.059,0.001
1.739,0.071,0.138,0.198
1.739,0.075,0.138,0.198
1.739,0.075,0.138,0.198
1.737,0.085,0.138,0.198
1.737,0.085,-0.058,0.002
1.725,0.108,-0.058,0.002
1.725,0.108,-0.058,0.002
1.771,0.068,-0.058,0.001
1.771,0.068,-0.057,0.002
1.748,0.097,-0.057,0.002
1.748,0.097,-0.057,0.002
1.771,0.076,-0.057,0.002
1.771,0.076,-0.057,0.002
1.783,0.065,-0.057,0.002
1.783,0.067,-0.057,0.002
1.771,0.086,-0.057,0.002
1.771,0.086,-0.057,0.002
1.797,0.065,-0.057,0.002
1.797,0.065,0.138,0.197
1.795,0.073,0.138,0.197
1.795,0.073,-0.056,0.002
1.771,0.102,-0.056,0.002
1.771,0.102,-0.056,0.002
1.795,0.083,-0.056,0.002
1.795,0.083,-0.056,0.002
1.807,0.075,-0.056,0.002
1.807,0.075,-0.056,0.002
1.807,0.082,-0.056,0.002
1.807,0.082,-0.056,0.002
1.807,0.085,-0.056,0.002
1.807,0.085,-0.056,0.002
1.807,0.089,-0.056,0.002
1.807,0.089,-0.056,0.002
1.819,0.079,-0.056,0.001
1.819,0.079,-0.056,0.002
1.832,0.072,-0.056,0.002
1.832,0.072,-0.056,0.002
1.819,0.087,-0.056,0.002
1.819,0.087,-0.056,0.002
1.832,0.085,-0.056,0.002
1.832,0.085,-0.056,0.002
1.860,0.059,-0.056,0.002
1.860,0.059,0.139,0.196
1.845,0.075,0.139,0.196
1.845,0.075,-0.056,0.002
1.858,0.072,-0.056,0.001
1.858,0.072,-0.056,0.001
1.845,0.090,-0.056,0.001
1.845,0.090,-0.055,0.002
1.845,0.093,-0.055,0.002
1.845,0.093,-0.055,0.002
1.845,0.100,-0.055,0.002
1.845,0.100,-0.055,0.002
1.871,0.079,-0.055,0.002
1.871,0.079,-0.055,0.002
1.871,0.084,-0.055,0.002
1.871,0.084,-0.055,0.002
1.858,0.102,-0.055,0.001
1.858,0.102,-0.055,0.001
1.900,0.062,-0.055,0.001
1.900,0.062,0.140,0.196
1.913,0.052,0.140,0.195
1.913,0.052,0.140,0.195
1.886,0.086,0.140,0.195
1.886,0.086,0.140,0.195
1.897,0.081,0.140,0.195
1.897,0.082,-0.054,0.002
1.884,0.098,-0.054,0.002
1.884,0.098,-0.054,0.002
1.911,0.077,-0.054,0.002
1.911,0.077,-0.054,0.002
1.911,0.079,-0.054,0.002
1.911,0.079,-0.054,0.002
1.925,0.072,-0.054,0.001
1.925,0.072,-0.053,0.002
1.897,0.103,-0.053,0.002
1.897,0.103,-0.053,0.002
1.925,0.083,-0.053,0.002
1.925,0.083,-0.053,0.002
1.911,0.102,-0.053,0.002
1.911,0.102,-0.053,0.002
1.967,0.077,-0.053,0.001
1.967,0.077,-0.052,0.002
1.953,0.093,-0.052,0.002
1.953,0.093,-0.052,0.002
1.982,0.069,-0.052,0.002
1.982,0.069,-0.052,0.002
1.967,0.091,-0.052,0.002
1.967,0.091,-0.052,0.002
1.982,0.081,-0.052,0.001
1.982,0.081,-0.052,0.001
1.982,0.085,-0.052,0.001
1.982,0.085,-0.052,0.001
1.997,0.076,-0.052,0.001
1.997,0.076,-0.051,0.002
2.014,0.062,-0.051,0.002
2.014,0.062,0.140,0.193
2.029,0.053,0.140,0.193
2.029,0.053,0.140,0.193
2.012,0.074,0.140,0.193
2.012,0.074,-0.051,0.002
2.027,0.072,-0.051,0.001
2.027,0.072,-0.051,0.001
2.027,0.077,-0.051,0.001
2.027,0.077,-0.051,0.001
2.012,0.101,-0.051,0.001
2.012,0.101,-0.050,0.002
2.043,0.074,-0.050,0.002
2.043,0.074,-0.050,0.002
2.043,0.076,-0.050,0.002
2.043,0.076,-0.050,0.002
2.027,0.096,-0.050,0.002
2.027,0.096,-0.050,0.002
2.059,0.072,-0.050,0.002
2.059,0.072,-0.050,0.002
2.077,0.057,-0.050,0.002
2.077,0.057,0.140,0.192
2.059,0.079,0.140,0.192
2.059,0.079,-0.050,0.001
2.043,0.097,-0.050,0.001
2.043,0.097,-0.050,0.001
2.075,0.069,-0.050,0.001
2.075,0.069,-0.049,0.002
2.091,0.067,-0.049,0.002
2.091,0.067,-0.049,0.002
2.059,0.102,-0.049,0.002
2.059,0.102,-0.049,0.002
2.091,0.072,-0.049,0.002
2.091,0.072,-0.049,0.002
2.091,0.076,-0.049,0.002
2.091,0.076,-0.049,0.002
2.108,0.072,-0.049,0.001
2.108,0.072,-0.049,0.001
2.109,0.073,-0.049,0.001
2.109,0.073,0.140,0.191
2.109,0.087,0.140,0.190
2.109,0.087,0.141,0.191
2.107,0.093,0.141,0.191
2.107,0.093,-0.048,0.002
2.124,0.084,-0.048,0.002
2.124,0.084,-0.048,0.002
2.141,0.069,-0.048,0.002
2.141,0.070,-0.048,0.002
2.141,0.073,-0.048,0.002
2.141,0.073,-0.048,0.002
2.124,0.099,-0.048,0.001
2.124,0.099,-0.048,0.001
2.159,0.066,-0.048,0.001
2.159,0.066,-0.048,0.001
2.159,0.072,-0.048,0.001
2.159,0.072,-0.047,0.002
2.141,0.097,-0.047,0.002
2.141,0.097,-0.047,0.002
2.178,0.062,-0.047,0.002
2.178,0.062,0.141,0.190
